australian_appl_no,patent_status_type,examination_section_name,invention_description
2006264127,CEASED,MECH 4 - Medical Devices,Pre-filter for an ostomy bag
2006264128,CEASED,MECH 4 - Medical Devices,An ostomy bag filter with interactive surfaces
2006264140,CEASED,MECH 2 - Construction and Mining,Magnetic knife holder
2006264156,LAPSED,,Method for producing hot water utilizing combined heat resources of solar energy and heat pump in the manner of heating water at multiple stages and accumulating energy and a device especially for carrying out the method
2006264162,LAPSED,,Exendin 4 polypeptide fragments and use thereof
2006264170,LAPSED,,"Pyrazolo[3,4-b]pyridin-2-yl)-benzoic acid derivatives as HIV integrase inhibitors"
2006264172,LAPSED,ELEC 1 - Physics,Method and apparatus for detecting overlapped substrates
2006264175,GRANTED,CHEM 1 - Biotechnology,Membrane array and analytical device
2006264179,GRANTED,ELEC 2 - Electronics and Communications,Self-actuated cylinder and oscillation spirometer
2006264181,CEASED,ELEC 2 - Electronics and Communications,Transverse flux electrical machine with segmented core stator
2006264193,CEASED,MXT - Mixed Technology,Method and device for producing a 3D object by means of a generative 3D-method
2006264204,LAPSED,,A light signalling system
2006264207,GRANTED,MXT - Mixed Technology,Code transformation
2006264209,GRANTED,MECH 2 - Construction and Mining,Method of making thin cast strip using twin-roll caster and apparatus therefor
2006264210,GRANTED,MXT - Mixed Technology,Spectroscopic lance for bulk sampling
2006264211,GRANTED,MECH 2 - Construction and Mining,Liner bolt and removal apparatus therefor
2006264212,CEASED,MECH 4 - Medical Devices,Sensor assembly with conductive bridge
2006264216,GRANTED,MECH 1 - Mechanical Engineering,Handling compressible materials
2006264217,LAPSED,MECH 3 - Process Engineering,Automated insect deterrent pump spray applicator
2006264218,LAPSED,,Collapsible buildings and building modules
2006264220,LAPSED,MECH 2 - Construction and Mining,Drink dispensing system
2006264221,CEASED,ELEC 3 - Computing,Storing video data in a video file
2006264222,GRANTED,,Measuring cognitive load
2006264223,LAPSED,MECH 2 - Construction and Mining,A hand-held power tool
2006264236,CEASED,CHEM 1 - Biotechnology,"White hair development model animal, method for establishing white hair development model animal, method for passage of white hair development model animal, method for study on white hair development, screening method for white hair development-control means, and composition for control of white hair development"
2006264241,GRANTED,MECH 3 - Process Engineering,Method for gasifying solid fuel with unified gas purification and gasifier using said method
2006264297,LAPSED,,Malaria MSP-1 C-terminal enhanced subunit vaccine
2006264300,GRANTED,MECH 4 - Medical Devices,Intravenous catheter insertion device and method of use
2006264305,CEASED,CHEM 2 - Chemical Compounds,Inhibitors of fibroblast activation protein alpha
2006264310,LAPSED,MECH 4 - Medical Devices,Systems and methods for treating septal defects
2006264316,CEASED,ELEC 3 - Computing,Wagering game system with networked gaming devices
2006264317,GRANTED,CHEM 3 - Pharmaceuticals,"Combinations of eszopiclone and trans 4-(3,4-dichlorophenyl)-1,2,3,4-tetrahydro-N-methyl-1-napthalenamine or trans 4-(3,4-dichlorophenyl)-1,2,3,4-tetrahydro-1-napthalenamine, and methods of treatment of menopause and mood, anxiety, and cognitive disorders"
2006264339,LAPSED,CHEM 2 - Chemical Compounds,"Lefty, Lefty derivatives and uses therof"
2006264343,CEASED,ELEC 2 - Electronics and Communications,Security system for entrance barriers
2006264376,LAPSED,CHEM 3 - Pharmaceuticals,Improved stability profile by minimizing wall effects for a personal care composition comprising at least two phases
2006264377,LAPSED,CHEM 3 - Pharmaceuticals,Improved rheology profile for a personal care composition
2006264378,LAPSED,CHEM 3 - Pharmaceuticals,Personal care compositions comprising a non-binding thickener with a metal ion
2006264382,LAPSED,MECH 2 - Construction and Mining,Cutting insert
2006264393,LAPSED,ELEC 2 - Electronics and Communications,Surveillance system and method for detecting forbidden movement along a predetermined path
2006264397,LAPSED,MECH 4 - Medical Devices,Balloon catheter
2006264401,LAPSED,,Electrophoretic separation of analytes by molecular mass
2006264404,CEASED,MECH 4 - Medical Devices,Surgical fasteners and fastening devices
2006264407,GRANTED,CHEM 3 - Pharmaceuticals,Improved drug or pharmaceutical compounds and a preparation thereof
2006264497,LAPSED,ELEC 1 - Physics,Method for providing dual surface progressive addition lens series
2006264498,GRANTED,CHEM 3 - Pharmaceuticals,Formulations and methods for treating amyloidosis
2006264501,LAPSED,,Module busbar arrangement for powerful aluminum electrolytic cells
2006264508,CEASED,MECH 3 - Process Engineering,Roller mill
2006264516,LAPSED,,"Improved processes for the preparation of purified solanesol, solanesyl bromide and solanesyl acetone"
2006264517,LAPSED,CHEM 2 - Chemical Compounds,"Novel intermediates useful for the preparation of coenzymes, process for the preparation of novel intermediates and an improved process for the preparation of coenzymes"
2006264518,LAPSED,,"Novel intermediates, process for their preparation and process for the preparation of CoQ10 employing the said novel intermediates"
2006264519,GRANTED,MECH 2 - Construction and Mining,Machine and device for supplying beverages in containers having different sizes and method therefor
2006264532,GRANTED,MECH 1 - Mechanical Engineering,Process for determining usage data for a portable hand-activated apparatus and the device for implementing the process
2006264536,CEASED,MXT - Mixed Technology,Device for identification of a gas cartridge for a gas-powered fastening device where the apparatus comprises the device and the cartridge for the apparatus
2006264551,LAPSED,,Panel for furniture or the like
2006264553,LAPSED,MECH 3 - Process Engineering,Use of an anode for elimination or reduction of microbial impurities in liquids
2006264562,GRANTED,MECH 4 - Medical Devices,Instrument for use in a joint replacement procedure
2006264564,GRANTED,,Chromosome conformation capture-on-chip (4c) assay
2006264567,LAPSED,CHEM 1 - Biotechnology,Cytokine receptor modulators and uses thereof
2006264573,GRANTED,ELEC 3 - Computing,Exterior sheathing weather barrier construction and method of manufacture
2006264574,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Methods and compositions for the delivery of biologically active agents
2006264597,GRANTED,ELEC 2 - Electronics and Communications,A rotor for an electrical machine
2006264598,GRANTED,ELEC 2 - Electronics and Communications,RFID optimized capability negotiation
2006264612,GRANTED,ELEC 2 - Electronics and Communications,Gas powered fastening apparatus
2006264620,CEASED,CHEM 3 - Pharmaceuticals,Combination therapy of cancer with AZD2171 and gemcitabine
2006264625,CEASED,"Vacant - A1 PBR, Plants and Biotechnology",Improved methods of detecting viability-associated molecules
2006264633,LAPSED,,Security device
2006264635,CEASED,CHEM 3 - Pharmaceuticals,Core 2 GlcNAc-T inhibitors
2006264637,CEASED,CHEM 2 - Chemical Compounds,"Core 2 beta(1,6)-acetylglycosaminyltransferase as diagnostic marker for atherosclerosis"
2006264638,LAPSED,CHEM 1 - Biotechnology,Cat allergen
2006264644,CEASED,CHEM 3 - Pharmaceuticals,Core 2 GlcNAc- T inhibitors III
2006264645,LAPSED,,Methods for tissue engineering
2006264649,LAPSED,CHEM 2 - Chemical Compounds,GPCR agonists
2006264650,GRANTED,MXT - Mixed Technology,Zofenopril calcium in polymorph form C
2006264651,LAPSED,CHEM 2 - Chemical Compounds,G-protein coupled receptor agonists
2006264652,LAPSED,,Substituted cyclohexyl derivatives as NK-3 receptor antagonists
2006264653,CEASED,MECH 3 - Process Engineering,"Novel zirconium compound, catalyst and its use for polyurethane manufacture"
2006264667,GRANTED,MECH 4 - Medical Devices,Pregnancy support cushion
2006264675,GRANTED,,Transport seating
2006264682,LAPSED,CHEM 2 - Chemical Compounds,The treatment of inflammatory disorders and pain
2006264683,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Process for the conversion of hydrocarbons to C2-oxygenates
2006264684,GRANTED,"Vacant - A1 PBR, Plants and Biotechnology",Process for attaching effector molecules to proteins
2006264686,GRANTED,MECH 1 - Mechanical Engineering,Carboxymethylated cellulosic wound dressing garment
2006264688,LAPSED,,Vision exercising apparatus
2006264689,LAPSED,,Image processing
2006264691,GRANTED,MECH 4 - Medical Devices,Wound dressing material
2006264695,CEASED,MXT - Mixed Technology,Process for the conversion of synthesis gas to oxygenates containing C2+ alcohols
2006264701,LAPSED,,Composition for dermatological treatment
2006264719,LAPSED,,Method for the non-destructive control of a particle filter and associated device
2006264743,CEASED,CHEM 4 - Polymers and Applied Chemistry,Use of a fungal biomass extract as technological additive for treating food-grade liquids
2006264759,LAPSED,,Syringe for biomaterial
2006264799,GRANTED,ELEC 1 - Physics,Method and device for analysing berries
2006264801,GRANTED,CHEM 2 - Chemical Compounds,"Derivatives of pyrido[2,3-d]pyrimidine, the preparation thereof, and the therapeutic application of the same"
2006264803,GRANTED,CHEM 2 - Chemical Compounds,Novel chemical compounds and the uses thereof as a medicine
2006264829,LAPSED,,"Method of producing middle distillates, comprising the hydroisomerisation and hydrocracking of feedstocks resulting from the Fischer-Tropsch method, using a doped catalyst based on mesoporous alumina-silica having a controlled macropore content"
2006264846,GRANTED,ELEC 2 - Electronics and Communications,Device for preventing the explosion of an electrical transformer
2006264856,GRANTED,CHEM 3 - Pharmaceuticals,Prolonged release formulation of active principles having a PH-dependent solubility
2006264897,GRANTED,MECH 4 - Medical Devices,Method and arrangement for triggering a series spark gap
2006264899,GRANTED,MECH 3 - Process Engineering,Process for the manufacture of diesel range hydrocarbons
2006264900,GRANTED,MECH 3 - Process Engineering,Process for the manufacture of diesel range hydrocarbons
2006264917,GRANTED,CHEM 1 - Biotechnology,Serum-free culture medium for the production of recombinant gonadotropins
2006264929,LAPSED,,Method and device for blind dehopping
2006264937,CEASED,,Plant yield improvement by Ste20-like gene expression
2006264946,LAPSED,,Fibrosis markers
2006264958,CEASED,CHEM 2 - Chemical Compounds,"2,4-diamino-pyrimidines used as aurora inhibitors"
2006264966,CEASED,MXT - Mixed Technology,Histamine H3 receptor antagonists
2006264979,LAPSED,MECH 3 - Process Engineering,Process to prepare a mineral derived residual deasphalted oil blend
2006264985,LAPSED,MECH 3 - Process Engineering,Process to prepare a blended brightstock
2006264988,CEASED,MECH 3 - Process Engineering,Ultrasonic assembly method
2006264997,LAPSED,ELEC 3 - Computing,Searching data storage systems and devices
2006265002,GRANTED,,"Anti-IL-23 antibodies, compositions, methods and uses"
2006265008,LAPSED,,"Combinations of eszopiclone and O-desmethylvenlafaxine, and methods of treatment of menopause and mood, anxiety, and cognitive disorders"
2006265009,LAPSED,,Combinations of eszopiclone and an antidepressant
2006265015,LAPSED,,Insect trapping apparatus with fog generator
2006265019,GRANTED,CHEM 2 - Chemical Compounds,"Processes for the preparation of 4-amino-2-(2,6-dioxopiperidin-3-yl)isoindoline-1,3-dione compounds"
2006265026,GRANTED,MECH 3 - Process Engineering,"Integrated heavy hydrocarbon removal, amine treating and dehydration"
2006265027,LAPSED,,Dehydrin genes and promoters from coffee
2006265040,GRANTED,MECH 4 - Medical Devices,Mobile motion capture cameras
2006265045,LAPSED,,Composition comprising acid anhydride-grafted polyolefin
2006265066,GRANTED,MECH 1 - Mechanical Engineering,Dispensing apparatus with locking cap
2006265067,LAPSED,MECH 1 - Mechanical Engineering,Automatic rack loader
2006265068,LAPSED,,Oleosin genes and promoters from coffee
2006265076,GRANTED,MECH 1 - Mechanical Engineering,Bulk bag tie-off assembly
2006265083,GRANTED,MECH 3 - Process Engineering,Improved phosphorus removal system and process
2006265085,CEASED,MECH 1 - Mechanical Engineering,Multi-functional and modular urine collection system
2006265087,LAPSED,ELEC 2 - Electronics and Communications,Compliant microfluidic sample processing disks
2006265088,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Modular sample processing apparatus kits and modules
2006265089,CEASED,MXT - Mixed Technology,System and method for accelerating the conversion of asbestos in the process of mineralogical conversion
2006265096,LAPSED,,Semiconductor device having a semiconductor-on-insulator (SOI) configuration and including a superlattice on a thin semiconductor layer and associated methods
2006265108,GRANTED,CHEM 3 - Pharmaceuticals,Human monoclonal antibodies to programmed death ligand 1 (PD-L1)
2006265113,LAPSED,CHEM 3 - Pharmaceuticals,Compositions and methods for the treatment or prevention of disorders relating to oxidative stress
2006265171,LAPSED,MECH 5 - Packaging and Appliances,Magnetorheological liquid
2006265172,CEASED,MXT - Mixed Technology,Phenoxy acetic acids as PPAR delta activators
2006265173,GRANTED,CHEM 1 - Biotechnology,Serum-free stable transfection and production of recombinant human proteins in human cell lines
2006265193,LAPSED,,Process for the production of porous reticulated composite materials
2006265196,LAPSED,,Medical devices comprising a reticulated composite material
2006265201,GRANTED,CHEM 2 - Chemical Compounds,Pyridazine derivatives
2006265203,LAPSED,,Propylene polymers having broad molecular weight distribution
2006265205,GRANTED,MXT - Mixed Technology,Cyclic anilino - pyridinotriazines
2006265210,LAPSED,,Polyethylene molding composition for producing injection-molded finished parts
2006265216,GRANTED,CHEM 2 - Chemical Compounds,Substituted glycinamides having an antithrombotic and factor Xa-inhibiting effect
2006265229,CEASED,MXT - Mixed Technology,"Method for producing radiation curable formulations with increased corrosion protection on metal substrates, and formulations of this type"
2006265245,GRANTED,CHEM 2 - Chemical Compounds,Synthesis of deoxybiotinyl hexamethylenediamine-DOTA
2006265248,CEASED,MXT - Mixed Technology,Use of L-carnitine or of alkanoyl L-carnitines for the preparation of a physiological supplement or medicament for ophthalmic use in the form of eye-drops
2006265249,LAPSED,,Method for setting up a multimedia connection in case of cascade connection transfer
2006265264,CEASED,"Vacant - A1 PBR, Plants and Biotechnology",Plants having increased yield and a method for making the same
2006265266,LAPSED,CHEM 3 - Pharmaceuticals,Kinin antagonists for treating bladder dysfunction
2006265274,LAPSED,CHEM 2 - Chemical Compounds,Heterocyclic compounds as agonists for the thyroid receptor
2006265275,LAPSED,CHEM 1 - Biotechnology,Detection of a target antigen irrespective of the presence or absence of a corresponding therapeutic antibody
2006265276,CEASED,CHEM 3 - Pharmaceuticals,Humanised antibodies specific for NOGO-A and pharmaceutical uses thereof
2006265277,LAPSED,CHEM 2 - Chemical Compounds,Crystalline forms of macrolide compounds endowed with antiinflammatory activity
2006265280,CEASED,CHEM 3 - Pharmaceuticals,Spray-drying process for producing a dry carnitine powder or granulate
2006265281,GRANTED,CHEM 3 - Pharmaceuticals,Anti-CCR7 receptor antibodies for the treatment of cancer
2006265303,GRANTED,ELEC 2 - Electronics and Communications,Method and system for managing virtual instances of a physical port attached to a network
2006265309,GRANTED,MECH 2 - Construction and Mining,Ceiling formwork system
2006265312,CEASED,ELEC 2 - Electronics and Communications,Method and apparatus for determining the location of a stationary satellite receiver
2006265326,GRANTED,MECH 1 - Mechanical Engineering,Device for detecting and for indicating the position of components of vehicle couplings
2006265329,CEASED,"Vacant - A1 PBR, Plants and Biotechnology",Anti-malaria vaccine
2006265330,CEASED,,Oral composition comprising dimethicone copolyol
2006265332,GRANTED,MECH 1 - Mechanical Engineering,Toothbrush
2006265336,LAPSED,MECH 3 - Process Engineering,Citrus fruit fibres in emulsions
2006265345,GRANTED,MECH 2 - Construction and Mining,Ceiling formwork system
2006265349,LAPSED,,"Floor, wall or ceiling panel"
2006265350,GRANTED,ELEC 3 - Computing,Multilayer body with electrically controllable optically active systems of layers
2006265356,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Seed treatment method and pesticidal composition
2006265357,GRANTED,CHEM 3 - Pharmaceuticals,Method of reducing mycotoxin contamination of the harvest
2006265360,GRANTED,ELEC 1 - Physics,Outer sheath layer for power or communication cable
2006265361,GRANTED,MECH 4 - Medical Devices,Cell-free graft consisting of a matrix and a serum
2006265367,LAPSED,,Pharmaceutical dosage form containing an active principle combination of nifedipine and/or nisoldipine and of an angiotensin II antagonist
2006265371,GRANTED,MXT - Mixed Technology,Ballistic-resistant article
2006265381,GRANTED,ELEC 1 - Physics,Device for quantitative analysis of a metabolite profile
2006265388,GRANTED,MECH 1 - Mechanical Engineering,An axial flow pump with a spiral-shaped vane
2006265391,CEASED,MXT - Mixed Technology,Crucible for the crystallization of silicon
2006265393,GRANTED,ELEC 2 - Electronics and Communications,A cardboard package with a food product
2006265394,CEASED,MXT - Mixed Technology,Method and device for hot-dip coating a metal strip
2006265408,LAPSED,MECH 1 - Mechanical Engineering,"Sample container, more particularly milk sample bottle, and method for taking a sample, more particularly for taking a milk sample"
2006265411,GRANTED,CHEM 3 - Pharmaceuticals,"Extracts and compounds from ""Agapanthus Africanus"" and their use as biological plant protecting agents"
2006265412,GRANTED,CHEM 3 - Pharmaceuticals,"Extracts and compounds from ""Tulbaghia violacea"" and thier use as biological plant protecting agents"
2006265432,CEASED,CHEM 3 - Pharmaceuticals,Agent containing L-carnitine or L-carnitine derivatives and at least one other specific substance
2006265440,CEASED,MECH 3 - Process Engineering,Apparatus for hot-dip coating a metal bar
2006265489,LAPSED,MECH 1 - Mechanical Engineering,A floor plate for a vehicle
2006265491,LAPSED,CHEM 2 - Chemical Compounds,High yield synthesis methods for producing organic salts of strontium
2006265564,GRANTED,ELEC 2 - Electronics and Communications,System and Method for Improving Communication Reliability
2006265576,GRANTED,MXT - Mixed Technology,Operator's device for automatic hot beverage dispensers
2006265601,LAPSED,,Repair of tympanic membrane using placenta derived collagen biofabric
2006265604,LAPSED,ELEC 1 - Physics,Sample processing device with compression systems and method of using same
2006265614,LAPSED,,Method for treating wounds with enriched platelet wound healant
2006265624,GRANTED,MECH 4 - Medical Devices,Anchored RF ablation device for the destruction of tissue masses
2006265632,CEASED,CHEM 2 - Chemical Compounds,HCV inhibitors
2006265633,LAPSED,,Video object cut and paste
2006265639,LAPSED,MXT - Mixed Technology,MAO-B inhibitors useful for treating obesity
2006265652,CEASED,MECH 1 - Mechanical Engineering,Two piece draft gear housing having an integral yoke
2006265653,LAPSED,CHEM 3 - Pharmaceuticals,Combination of a renin inhibitor and an insulin secretion enhancer or an insulin sensitizer
2006265665,LAPSED,,Ink warping for normalization and beautification / ink beautification
2006265668,LAPSED,,Accommodating intraocular lens system and method
2006265673,LAPSED,,Ultra-low petroleum plastics
2006265675,LAPSED,,Thiazoles derivatives as AMPK activator
2006265676,GRANTED,CHEM 3 - Pharmaceuticals,Methods and compositions with enhanced therapeutic activity
2006265681,LAPSED,MECH 4 - Medical Devices,Transvaginal uterine artery occlusion
2006265682,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Wound healing polymeric networks
2006265691,LAPSED,,"Intraosseous drug delivery portal, injector, and system"
2006265693,LAPSED,,Audio visual system
2006265694,GRANTED,MECH 1 - Mechanical Engineering,"Preparation and use of cationic halides, sequestration of carbon dioxide"
2006265696,LAPSED,MECH 5 - Packaging and Appliances,A system and method for locating one or more persons
2006265697,LAPSED,MECH 1 - Mechanical Engineering,"Expandable connector assembly, tool attachment and workpiece jig"
2006265698,LAPSED,CHEM 1 - Biotechnology,A method and kit for analyzing a target nucleic acid sequence
2006265705,CEASED,MECH 3 - Process Engineering,"Lubricant oil for a refrigeration machine, lubricant composition and refrigeration machine and system"
2006265707,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Antimicrobial compositions for inhibiting growth and proliferation of a microbial biofilm on medical devices
2006265719,CEASED,ELEC 3 - Computing,Railway wheel sensor employing hall effect devices
2006265722,GRANTED,MECH 3 - Process Engineering,Composite bridge structure
2006265723,CEASED,MECH 3 - Process Engineering,Production of canola protein
2006265726,LAPSED,MECH 3 - Process Engineering,Microbicidal air filter
2006265735,CEASED,CHEM 2 - Chemical Compounds,Cathepsin cysteine protease inhibitors
2006265750,CEASED,CHEM 2 - Chemical Compounds,Red-shifted water-dispersible naphthalocyanine dyes
2006265751,CEASED,MXT - Mixed Technology,Red-shifted water-dispersible IR dyes
2006265752,CEASED,CHEM 1 - Biotechnology,Nitrogen-substituted water-dispersible phthalocyanine dyes
2006265753,GRANTED,MECH 2 - Construction and Mining,A gutter cleaner apparatus
2006265754,CEASED,MECH 2 - Construction and Mining,Trash screen for side entry pit
2006265755,LAPSED,MECH 4 - Medical Devices,Journal with pocket inserts
2006265757,GRANTED,MECH 2 - Construction and Mining,Drill slide for rock drilling apparatus
2006265759,CEASED,ELEC 1 - Physics,Charge conducting medium
2006265760,LAPSED,,Device for use in cleaning endoscopes
2006265761,GRANTED,MXT - Mixed Technology,Monitoring system
2006265762,GRANTED,MECH 4 - Medical Devices,Pulmonary monitoring system
2006265763,GRANTED,MECH 4 - Medical Devices,Monitoring system
2006265764,CEASED,ELEC 1 - Physics,Soil moisture sensor
2006265765,GRANTED,MECH 4 - Medical Devices,Fabrication of electronic components in plastic
2006265767,LAPSED,,Reciprocating pump
2006265768,GRANTED,ELEC 3 - Computing,Hinge
2006265769,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Crosslinking method
2006265770,GRANTED,MECH 1 - Mechanical Engineering,Toroidal ram actuator
2006265771,GRANTED,MECH 1 - Mechanical Engineering,A closure
2006265773,CEASED,MECH 3 - Process Engineering,Water treatment apparatus
2006265777,GRANTED,CHEM 3 - Pharmaceuticals,Methods and compositions for improving pregnancy outcome
2006265780,CEASED,ELEC 3 - Computing,Image watermarking
2006265781,LAPSED,MECH 2 - Construction and Mining,Tea infusion assembly
2006265782,CEASED,CHEM 2 - Chemical Compounds,Anticoagulation agent and uses thereof
2006265783,CEASED,MECH 1 - Mechanical Engineering,Composite component production using fluid density and pressure
2006265784,CEASED,CHEM 2 - Chemical Compounds,Pyrrolotriazine compounds useful as kinase inhibitors and methods of treating kinase-associated conditions therewith
2006265787,LAPSED,MECH 3 - Process Engineering,Polymer interlayers comprising poly(cyclohexanedimethylene terephthalate-co-ethylene terephthalate) copolyester
2006265799,LAPSED,MECH 4 - Medical Devices,"Method, system and apparatus for entraining global regulatory bio-networks to evoke optimized self-organizing autonomous adaptive capacities"
2006265801,LAPSED,MXT - Mixed Technology,Polyunsaturated fatty acid-containing oil product and uses and production thereof
2006265810,CEASED,MECH 4 - Medical Devices,Indwelling urinary drainage catheter
2006265814,CEASED,CHEM 3 - Pharmaceuticals,GLP-1 pharmaceutical compositions
2006265815,LAPSED,,Computer graphics shader systems and methods
2006265816,CEASED,CHEM 4 - Polymers and Applied Chemistry,Sunless tanning substrate
2006265817,CEASED,CHEM 3 - Pharmaceuticals,Sunless tanning composition and method of sunless tanning
2006265823,LAPSED,ELEC 3 - Computing,Card scrambling device
2006265835,CEASED,CHEM 1 - Biotechnology,"Bis-aryl kinase inhibitors and their use in the treatment of inflammation, angiogenesis and cancer"
2006265840,LAPSED,CHEM 2 - Chemical Compounds,Pyrimidine-substituted benzimidazole derivatives as protein kinase inhibitors
2006265842,CEASED,MECH 3 - Process Engineering,Tubular solid oxide fuel cell current collector
2006265846,LAPSED,,Programmable intraosseous drug delivery system
2006265847,LAPSED,,Osmotic intraosseous drug delivery system
2006265854,LAPSED,,Retractable vortex generator
2006265857,LAPSED,CHEM 1 - Biotechnology,Methods of determining pharmacokinetics of targeted therapies
2006265859,LAPSED,,Intraocular lens insertion plunger with low stimuls soft tip
2006265884,LAPSED,,Process for preparation of liquid dosage form containing sodium 4-phenylbutyrate
2006265891,GRANTED,ELEC 3 - Computing,Mobile elliptically driven device
2006265896,GRANTED,CHEM 2 - Chemical Compounds,Materials and methods for the generation of fully 2'-modified nucleic acid transcripts
2006265898,LAPSED,,Polynucleotides and polypeptides of the IL-12 family of cytokines
2006265902,CEASED,ELEC 1 - Physics,Dimmer having a microprocessor-controlled power supply
2006265907,CEASED,MECH 4 - Medical Devices,Soft magnetic amorphous electromagnetic component and method for making the same
2006265918,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Process for the reductive amination of aldehydes and ketones via the formation of macrocyclic polyimine intermediates
2006265932,CEASED,CHEM 3 - Pharmaceuticals,IL-12/p40 binding proteins
2006265936,LAPSED,CHEM 3 - Pharmaceuticals,An integrated approach for generating multidomain protein therapeutics
2006265941,LAPSED,,"Electrically conducting polymer glue, devices made therewith and methods of manufacture"
2006265964,LAPSED,,Orthopedic clamping hook assembly
2006265971,LAPSED,,"A-[(E)-2-(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-napthalenyl)-1-propenyl]benzoic acid analogs and method of manufacture and and use thereof"
2006265975,GRANTED,CHEM 2 - Chemical Compounds,Process for synthesizing a CETP inhibitor
2006265978,GRANTED,MECH 2 - Construction and Mining,Weight-adjustable food press for cooking
2006265980,LAPSED,MECH 3 - Process Engineering,Modified vinylamine/vinylformamide polymers for use as creping adhesives
2006265984,GRANTED,CHEM 1 - Biotechnology,"Herbicide-resistant sunflower plants, polynucleotides encoding herbicide-resistant acetohydroxyacid synthase large subunit proteins, and methods of use"
2006265985,GRANTED,MXT - Mixed Technology,Systems and methods for recovery of motor control via stimulation to a substituted site to an affected area
2006265986,GRANTED,CHEM 3 - Pharmaceuticals,Compounds for preparing immunological adjuvant
2006265995,LAPSED,ELEC 2 - Electronics and Communications,Torque converter and system using the same
2006265997,CEASED,MXT - Mixed Technology,"Histamine H3 receptor agents, preparation and therapeutic uses"
2006266001,GRANTED,ELEC 2 - Electronics and Communications,Multifunction surgical footswitch
2006266021,GRANTED,ELEC 2 - Electronics and Communications,Method and system for measuring the curvature of an optical surface
2006266025,LAPSED,,"Alkenyldiarylmethanes, fused analogs and syntheses thereof"
2006266028,CEASED,CHEM 1 - Biotechnology,Chemical compounds
2006266042,GRANTED,MXT - Mixed Technology,Yarns containing siliconized microdenier polyester fibers
2006266045,LAPSED,,"Crystalline forms of 4-[(2,4-dichloro-5-methoxyphenyl)amino]-6-methoxy-7-[3-(4-methyl-1-piperazinyl)propoxy]-3-quinolinecarb-onitrile and methods of preparing the same"
2006266053,GRANTED,CHEM 3 - Pharmaceuticals,Liquid compositions for treating plant propagation materials
2006266070,LAPSED,,Magnetic composite materials and articles containing such
2006266074,LAPSED,,Hydrazide conjugates as imaging agents
2006266095,GRANTED,MECH 3 - Process Engineering,Zinc-free farm tractor fluid
2006266099,CEASED,MECH 4 - Medical Devices,Artificial nipple with reinforcement
2006266103,GRANTED,ELEC 3 - Computing,Determination of a desired repository
2006266107,GRANTED,MXT - Mixed Technology,Construction and operation of an oilfield molten salt battery
2006266108,GRANTED,MECH 1 - Mechanical Engineering,Package for containers
2006266120,GRANTED,,Environmentally compatible hydraulic fluid
2006266124,CEASED,CHEM 4 - Polymers and Applied Chemistry,High performance resin for abrasive products
2006266125,GRANTED,CHEM 3 - Pharmaceuticals,Compositions for treating or preventing obesity and insulin resistance disorders
2006266129,LAPSED,CHEM 2 - Chemical Compounds,Amino-5-(5-membered)heteroarylimidazolone compounds and the use thereof for beta-secretase modulation
2006266137,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Protection of solid acid catalysts from damage by volatile species
2006266142,LAPSED,,Reduction of heat loss in micro-fluid ejection devices
2006266149,GRANTED,MECH 4 - Medical Devices,"Devices, systems, and methods for creation of a peripherally located fistula"
2006266151,LAPSED,,Ionic liquid reconstituted cellulose composites as solid support matrices
2006266167,LAPSED,CHEM 2 - Chemical Compounds,Amino-5-(6-membered)heteroarylimidazolone compounds and the use thereof for beta-secretase modulation
2006266180,CEASED,,System for abrading skin to remove outer portions thereof
2006266187,CEASED,MECH 3 - Process Engineering,"Process for applying a metallic coating, an intermediate coated product, and a finish coated product"
2006266197,CEASED,MECH 4 - Medical Devices,Trend monitoring system with multiple access levels
2006266199,LAPSED,MECH 1 - Mechanical Engineering,System and methods for wall and ceiling fastening
2006266204,CEASED,MXT - Mixed Technology,"Wax formulations for lignocellulosic products, methods of their manufacture and products formed therefrom"
2006266206,CEASED,ELEC 1 - Physics,Interstellar light collector
2006266207,CEASED,MECH 3 - Process Engineering,Methods for recovering activity of molecular sieve catalysts
2006266212,LAPSED,CHEM 2 - Chemical Compounds,Method for preparing a covalently cross linked oligomer of amyloid beta peptides
2006266213,LAPSED,,Composition and method for producing stable amyloid beta oligomers of high molecular weight
2006266227,CEASED,ELEC 3 - Computing,Application security in an interactive media environment
2006266228,GRANTED,MECH 1 - Mechanical Engineering,System and method for providing gyroscopic stabilization to a two-wheeled vehicle
2006266229,CEASED,CHEM 3 - Pharmaceuticals,Use of DTBZ for imaging endocrine pancreas and beta cell mass in type 1 diabetes
2006266232,GRANTED,MECH 1 - Mechanical Engineering,Diaphragm latch valve
2006266236,GRANTED,ELEC 3 - Computing,Methods and devices for downloading games of chance
2006266242,GRANTED,MXT - Mixed Technology,Braided barbed suture
